,Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Aircraft Airline Operator,Origin State,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots,latitude,longitude,Count
1402,DALLAS/FORT WORTH INTL ARPT,B-727-200,None,8/15/1992,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,200.0,32.8998,-97.0403,908
1403,DALLAS/FORT WORTH INTL ARPT,MD-80,None,8/15/1992,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,135.0,32.8998,-97.0403,908
1404,MEMPHIS INTL,SAAB-340,None,8/16/1992,PINNACLE,Tennessee,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,80.0,35.1495,-90.049,272
1405,NASHVILLE INTL,SAAB-340,None,8/16/1992,AMERICAN EAGLE AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,80.0,36.1263,-86.6774,297
1406,DALLAS/FORT WORTH INTL ARPT,MD-83,None,8/16/1992,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0,32.8998,-97.0403,908
1407,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,L-1011,None,8/17/1992,DELTA AIR LINES,Kentucky,Climb,Medium,Unknown bird - medium,Night,0,0,0,180.0,39.0508,-84.6673,263
1408,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,EMB-120,None,8/17/1992,COMAIR AIRLINES,Kentucky,Approach,Small,European starling,Day,0,0,0,130.0,39.0508,-84.6673,263
1409,NASHVILLE INTL,MD-83,None,8/17/1992,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,135.0,36.1263,-86.6774,297
1410,INDIANAPOLIS INTL,B-737,None,8/18/1992,SOUTHWEST AIRLINES,Indiana,Climb,Small,Unknown bird - small,Day,0,0,0,150.0,39.7169,-86.2956,144
1411,NEW ORLEANS INTL,B-737-200,None,8/19/1992,DELTA AIR LINES,Louisiana,Approach,Medium,Unknown bird - medium,Day,0,0,0,130.0,29.9911,-90.2592,183
1412,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,8/19/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,170.0,32.5019,-93.6571,435
1413,CHICAGO O'HARE INTL ARPT,FOKKER F100,None,8/19/1992,AMERICAN AIRLINES,Illinois,Take-off run,Small,Unknown bird - small,Day,0,0,0,120.0,41.9803,-87.909,430
1414,CHICAGO O'HARE INTL ARPT,C-130H,None,8/20/1992,MILITARY,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,150.0,41.9803,-87.909,430
1415,LOGAN INTL,B-737-300,None,8/20/1992,UNITED AIRLINES,Massachusetts,Approach,Medium,Unknown bird - medium,Night,0,0,0,,42.3656,-71.0096,146
1416,PORTLAND INTL (OR),C-500,None,8/20/1992,BUSINESS,Oregon,Approach,Small,Unknown bird - small,Day,0,0,0,105.0,45.5898,-122.5951,245
1417,DALLAS/FORT WORTH INTL ARPT,MD-80,None,8/20/1992,AMERICAN AIRLINES,Texas,Approach,Small,European starling,Day,0,0,0,140.0,32.8998,-97.0403,908
1418,SAN ANTONIO INTL,DC-10-10,None,8/20/1992,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,140.0,29.5312,-98.4683,158
1419,LOUISVILLE INTL ARPT,MD-88,None,8/21/1992,DELTA AIR LINES,Kentucky,Climb,Medium,Unknown bird - medium,Day,0,0,0,150.0,38.186,-85.7412,272
1420,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,8/21/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,140.0,32.5019,-93.6571,435
1421,WILL ROGERS WORLD ARPT,B-737-200,None,8/21/1992,SOUTHWEST AIRLINES,Oklahoma,Take-off run,Small,Unknown bird - small,Day,0,0,0,100.0,35.3931,-97.6006,83
1422,BARKSDALE AIR FORCE BASE ARPT,B-52G,None,8/22/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150.0,32.5019,-93.6571,435
1423,JOHN F KENNEDY INTL,ATR-42,None,8/22/1992,TRANS STATES AIRLINES,New York,Landing Roll,Small,Mourning dove,Day,0,0,0,,40.6413,-73.7781,216
1424,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-88,None,8/22/1992,DELTA AIR LINES,Kentucky,Approach,Small,Unknown bird - small,Night,0,0,0,130.0,39.0508,-84.6673,263
1425,EPPLEY AIRFIELD,B-727-200,None,8/24/1992,TRANS WORLD AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Dusk,0,0,0,140.0,41.3015,-95.8945,118
1426,INDIANAPOLIS INTL,B-727,None,8/24/1992,DELTA AIR LINES,Indiana,Approach,Small,Unknown bird - small,Night,0,0,0,140.0,39.7169,-86.2956,144
1427,NASHVILLE INTL,B-727-200,None,8/25/1992,BUSINESS,Tennessee,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,80.0,36.1263,-86.6774,297
1428,NASHVILLE INTL,B-727-200,None,8/25/1992,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,280.0,36.1263,-86.6774,297
1429,MINNEAPOLIS-ST PAUL INTL,C-130E,None,8/26/1992,MILITARY,Minnesota,Approach,Medium,Unknown bird - medium,Day,0,0,0,150.0,44.8848,-93.2223,103
1430,BARKSDALE AIR FORCE BASE ARPT,KC-135,None,8/26/1992,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,133.0,32.5019,-93.6571,435
1431,CHICAGO O'HARE INTL ARPT,FOKKER F100,None,8/26/1992,AMERICAN AIRLINES,Illinois,Climb,Small,Unknown bird - small,Day,0,0,0,160.0,41.9803,-87.909,430
1432,LAGUARDIA NY,B-727-200,None,8/26/1992,AMERICAN AIRLINES,New York,Approach,Small,Unknown bird - small,Night,0,0,0,240.0,40.7769,-73.874,175
1433,LAGUARDIA NY,B-737-400,None,8/26/1992,US AIRWAYS*,New York,Approach,Small,Unknown bird - small,Night,0,0,0,180.0,40.7769,-73.874,175
1434,KANSAS CITY INTL,LEARJET-25,Minor,8/27/1992,BUSINESS,Missouri,Landing Roll,Large,Coyote,Night,0,0,0,,39.3036,-94.7093,187
1435,BARKSDALE AIR FORCE BASE ARPT,KC-135,None,8/27/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,180.0,32.5019,-93.6571,435
1436,DALLAS/FORT WORTH INTL ARPT,MD-80,None,8/27/1992,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0,32.8998,-97.0403,908
1437,KANSAS CITY INTL,B-737-500,None,8/27/1992,SOUTHWEST AIRLINES,Missouri,Climb,Small,Unknown bird - small,Day,0,0,0,170.0,39.3036,-94.7093,187
1438,SALT LAKE CITY INTL,B-757-200,None,8/27/1992,DELTA AIR LINES,Utah,Take-off run,Small,Unknown bird - small,Day,0,0,0,120.0,40.7899,-111.9791,236
1439,CHICAGO MIDWAY INTL ARPT,B-737-300,Substantial,8/28/1992,SOUTHWEST AIRLINES,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140.0,41.7868,-87.7522,75
1440,FORT LAUDERDALE/HOLLYWOOD INTL,B-737-400,None,8/28/1992,US AIRWAYS*,Florida,Approach,Medium,Unknown bird - medium,Day,0,0,0,115.0,26.0742,-80.1506,93
1441,BARKSDALE AIR FORCE BASE ARPT,KC-135,None,8/28/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,150.0,32.5019,-93.6571,435
1442,CHICAGO O'HARE INTL ARPT,MD-80,None,8/28/1992,AMERICAN AIRLINES,Illinois,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,140.0,41.9803,-87.909,430
1443,BALTIMORE WASH INTL,B-727,None,8/28/1992,ATLANTIC SOUTHEAST,Maryland,Approach,Medium,Unknown bird - medium,Night,0,0,0,120.0,39.17329,-76.68408,201
1444,KANSAS CITY INTL,MD-88,None,8/28/1992,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,160.0,39.3036,-94.7093,187
1445,LOUISVILLE INTL ARPT,B-757-200,None,8/28/1992,UPS AIRLINES,Kentucky,Landing Roll,Small,Unknown bird - small,Day,0,0,0,120.0,38.186,-85.7412,272
1446,KANSAS CITY INTL,MD-82,None,8/29/1992,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,180.0,39.3036,-94.7093,187
1447,CHICAGO O'HARE INTL ARPT,FOKKER F100,None,8/30/1992,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,180.0,41.9803,-87.909,430
1448,GREATER PITTSBURGH,MD-80,None,8/30/1992,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,,40.3565,-79.9193,289
1449,GREATER PITTSBURGH,DC-9-30,None,8/30/1992,US AIRWAYS*,Pennsylvania,Climb,Small,European starling,Day,0,0,0,140.0,40.3565,-79.9193,289
1450,GREATER PITTSBURGH,B-737-300,None,8/30/1992,US AIRWAYS*,Pennsylvania,Take-off run,Small,Blackbirds,Day,0,0,0,147.0,40.3565,-79.9193,289
1451,CHICAGO O'HARE INTL ARPT,MD-82,None,8/30/1992,AMERICAN AIRLINES,Illinois,Descent,Small,Unknown bird - small,Night,0,0,0,,41.9803,-87.909,430
1452,NEW ORLEANS INTL,B-727-200,None,8/31/1992,AMERICAN AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,136.0,29.9911,-90.2592,183
1453,ATLANTA INTL,EMB-120,None,8/31/1992,ATLANTIC SOUTHEAST,Georgia,Approach,Small,Unknown bird - small,Dusk,0,0,0,120.0,33.6407,-84.4277,211
1454,CHICAGO O'HARE INTL ARPT,B-727-200,None,8/31/1992,AMERICAN AIRLINES,Illinois,Climb,Small,Unknown bird - small,Night,0,0,0,,41.9803,-87.909,430
1455,RONALD REAGAN WASHINGTON NATL,B-757-200,None,9/1/1992,AMERICAN AIRLINES,DC,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,200.0,38.8512,-77.0402,219
1456,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,9/1/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,140.0,32.5019,-93.6571,435
1457,LOGAN INTL,DC-10-40,Minor,9/2/1992,NORTHWEST AIRLINES,Massachusetts,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,,42.3656,-71.0096,146
1458,CHICAGO O'HARE INTL ARPT,KC-135R,None,9/2/1992,MILITARY,Illinois,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,,41.9803,-87.909,430
1459,CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,9/2/1992,US AIRWAYS*,North Carolina,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,130.0,35.2144,-80.9473,269
1460,JOHN F KENNEDY INTL,B-727-200,None,9/2/1992,FEDEX EXPRESS,New York,Landing Roll,Small,Mourning dove,Dawn,0,0,0,,40.6413,-73.7781,216
1461,CHICAGO O'HARE INTL ARPT,C-130H,None,9/3/1992,MILITARY,Illinois,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,150.0,41.9803,-87.909,430
1462,HOUSTON-HOBBY,B-737-300,None,9/3/1992,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130.0,29.6459,-95.2769,151
1463,NASHVILLE INTL,MD-80,None,9/4/1992,AMERICAN AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0,36.1263,-86.6774,297
1464,LAGUARDIA NY,B-727-200,None,9/4/1992,AMERICAN AIRLINES,New York,Climb,Medium,Unknown bird - medium,Night,0,0,0,245.0,40.7769,-73.874,175
1465,DALLAS/FORT WORTH INTL ARPT,DC-10-10,None,9/4/1992,AMERICAN AIRLINES,Texas,Descent,Medium,Unknown bird - medium,Night,0,0,0,250.0,32.8998,-97.0403,908
1466,AUSTIN-BERGSTROM INTL,B-737-300,Minor,9/4/1992,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,320.0,30.1975,-97.6664,144
1467,LAMBERT-ST LOUIS INTL,B-727,None,9/4/1992,TRANS WORLD AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140.0,38.7499,-90.3748,189
1468,WASHINGTON DULLES INTL ARPT,B-737-300,None,9/5/1992,UNITED AIRLINES,DC,Approach,Small,Unknown bird - small,Day,0,0,0,135.0,38.9531,-77.4565,256
1469,CHICAGO O'HARE INTL ARPT,FOKKER F100,None,9/6/1992,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0,41.9803,-87.909,430
1470,PHILADELPHIA INTL,MD-82,None,9/6/1992,AMERICAN AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,130.0,39.8729,-75.2437,225
1471,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,9/7/1992,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,150.0,32.5019,-93.6571,435
1472,BALTIMORE WASH INTL,MD-80,None,9/7/1992,US AIRWAYS*,Maryland,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,,39.17329,-76.68408,201
1473,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-737-200,None,9/7/1992,DELTA AIR LINES,Kentucky,Take-off run,Small,Mourning dove,Day,1091,0,1091,120.0,39.0508,-84.6673,263
1474,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,9/8/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,140.0,32.5019,-93.6571,435
1475,CHICAGO O'HARE INTL ARPT,B-767-200,None,9/8/1992,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0,41.9803,-87.909,430
1476,MEMPHIS INTL,B-727,None,9/8/1992,AMERICAN AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,200.0,35.1495,-90.049,272
1477,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-737-200,None,9/9/1992,US AIRWAYS*,Kentucky,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,150.0,39.0508,-84.6673,263
1478,DALLAS/FORT WORTH INTL ARPT,MD-80,None,9/9/1992,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,135.0,32.8998,-97.0403,908
1479,HONOLULU INTL ARPT,B-737,None,9/9/1992,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Unknown bird - small,Day,0,0,0,130.0,21.3186,-157.9253,135
1480,LOUISVILLE INTL ARPT,DC-9,None,9/9/1992,NORTHWEST AIRLINES,Kentucky,Landing Roll,Small,Killdeer,Day,0,0,0,120.0,38.186,-85.7412,272
1481,MINNEAPOLIS-ST PAUL INTL,C-130E,None,9/10/1992,MILITARY,Minnesota,Approach,Medium,Unknown bird - medium,Day,0,0,0,160.0,44.8848,-93.2223,103
1482,CHICAGO O'HARE INTL ARPT,C-130H,None,9/10/1992,MILITARY,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,170.0,41.9803,-87.909,430
1483,BARKSDALE AIR FORCE BASE ARPT,KC-135,None,9/10/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,140.0,32.5019,-93.6571,435
1484,DALLAS/FORT WORTH INTL ARPT,MD-80,None,9/10/1992,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,135.0,32.8998,-97.0403,908
1485,DALLAS/FORT WORTH INTL ARPT,B-727-200,None,9/10/1992,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,165.0,32.8998,-97.0403,908
1486,DALLAS/FORT WORTH INTL ARPT,B-727,None,9/10/1992,UPS AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,,32.8998,-97.0403,908
1487,LOUISVILLE INTL ARPT,B-747,None,9/10/1992,UNITED AIRLINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,150.0,38.186,-85.7412,272
1488,NEWARK LIBERTY INTL ARPT,B-727,None,9/11/1992,AMERICAN AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,,40.6895,-74.1745,206
1489,NEWARK LIBERTY INTL ARPT,B-727,None,9/11/1992,AMERICAN AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,120.0,40.6895,-74.1745,206
1490,NEWARK LIBERTY INTL ARPT,DC-10-10,None,9/11/1992,UNITED AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,,40.6895,-74.1745,206
1491,NEWARK LIBERTY INTL ARPT,DC-10,None,9/11/1992,UNITED AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,170.0,40.6895,-74.1745,206
1492,DALLAS/FORT WORTH INTL ARPT,MD-82,None,9/11/1992,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Night,0,0,0,250.0,32.8998,-97.0403,908
1493,GREATER PITTSBURGH,KC-135E,C,9/12/1992,MILITARY,Pennsylvania,Approach,Medium,Unknown bird - medium,Day,0,117399,117399,200.0,40.3565,-79.9193,289
1494,NASHVILLE INTL,MD-80,None,9/12/1992,AMERICAN AIRLINES,Tennessee,Climb,Medium,Unknown bird - medium,Day,0,0,0,250.0,36.1263,-86.6774,297
1495,SAN FRANCISCO INTL ARPT,DC-10-40,None,9/13/1992,NORTHWEST AIRLINES,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,120.0,37.6213,-122.379,146
1496,RONALD REAGAN WASHINGTON NATL,MD-80,None,9/13/1992,AMERICAN AIRLINES,DC,Climb,Small,Unknown bird - small,Day,0,0,0,180.0,38.8512,-77.0402,219
1497,DALLAS/FORT WORTH INTL ARPT,CITATION II,None,9/13/1992,BUSINESS,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,125.0,32.8998,-97.0403,908
1498,SALT LAKE CITY INTL,B-757-200,None,9/15/1992,DELTA AIR LINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,,40.7899,-111.9791,236
1499,CHICAGO O'HARE INTL ARPT,MD-80,None,9/16/1992,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,140.0,41.9803,-87.909,430
1500,CHICAGO O'HARE INTL ARPT,C-130H,None,9/17/1992,MILITARY,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,120.0,41.9803,-87.909,430
1501,CHICAGO O'HARE INTL ARPT,C-130H,None,9/17/1992,MILITARY,Illinois,Landing Roll,Medium,Unknown bird or bat,Night,0,0,0,80.0,41.9803,-87.909,430
1502,METRO OAKLAND INTL,C-206 STATIO,None,9/17/1992,BUSINESS,California,Approach,Small,European starling,Day,0,0,0,75.0,37.7126,-122.2197,106
1503,FORT LAUDERDALE/HOLLYWOOD INTL,MD-82,None,9/17/1992,CONTINENTAL AIRLINES,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,132.0,26.0742,-80.1506,93
1504,EPPLEY AIRFIELD,MD-82,None,9/18/1992,AMERICAN AIRLINES,Nebraska,Approach,Medium,Unknown bird - medium,Night,0,0,0,180.0,41.3015,-95.8945,118
1505,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,9/19/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,160.0,32.5019,-93.6571,435
1506,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,9/19/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,220.0,32.5019,-93.6571,435
1507,DALLAS/FORT WORTH INTL ARPT,MD-82,None,9/19/1992,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,150.0,32.8998,-97.0403,908
1508,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,9/20/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,200.0,32.5019,-93.6571,435
1509,RONALD REAGAN WASHINGTON NATL,MD-88,None,9/20/1992,DELTA AIR LINES,DC,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,175.0,38.8512,-77.0402,219
1510,CHARLOTTE/DOUGLAS INTL ARPT,B-737-300,None,9/20/1992,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,165.0,35.2144,-80.9473,269
1511,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,FOKKER F28 MK 1000,None,9/20/1992,AMERICAN AIRLINES,Kentucky,Climb,Small,Unknown bird - small,Night,0,0,0,200.0,39.0508,-84.6673,263
1512,LOUISVILLE INTL ARPT,DC-8,None,9/22/1992,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,190.0,38.186,-85.7412,272
1513,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,9/22/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,0.0,32.5019,-93.6571,435
1514,BARKSDALE AIR FORCE BASE ARPT,B-52G,None,9/22/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150.0,32.5019,-93.6571,435
1515,DALLAS/FORT WORTH INTL ARPT,B-727-200,None,9/22/1992,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,200.0,32.8998,-97.0403,908
1516,CHICAGO O'HARE INTL ARPT,DC-9,None,9/22/1992,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,140.0,41.9803,-87.909,430
1517,NASHVILLE INTL,MD-80,None,9/23/1992,AMERICAN AIRLINES,Tennessee,Approach,Large,Canada goose,Day,0,0,0,170.0,36.1263,-86.6774,297
1518,NASHVILLE INTL,DC-9,None,9/23/1992,NORTHWEST AIRLINES,Tennessee,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,,36.1263,-86.6774,297
1519,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,9/23/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,160.0,32.5019,-93.6571,435
1520,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,9/23/1992,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,185.0,32.5019,-93.6571,435
1521,GEORGE BUSH INTERCONTINENTAL,MD-82,None,9/23/1992,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,170.0,29.9902,-95.3368,134
1522,MEMPHIS INTL,B-727,None,9/23/1992,AMERICAN AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,200.0,35.1495,-90.049,272
1523,GEORGE BUSH INTERCONTINENTAL,MD-80,None,9/23/1992,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,180.0,29.9902,-95.3368,134
1524,DALLAS/FORT WORTH INTL ARPT,MD-80,None,9/24/1992,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0,32.8998,-97.0403,908
1525,LOUISVILLE INTL ARPT,B-727-200,None,9/24/1992,AMERICAN AIRLINES,Kentucky,Approach,Small,Rock pigeon,Day,0,0,0,130.0,38.186,-85.7412,272
1526,EPPLEY AIRFIELD,DC-9,None,9/24/1992,CONTINENTAL AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Day,0,0,0,120.0,41.3015,-95.8945,118
1527,EPPLEY AIRFIELD,C-500,None,9/24/1992,BUSINESS,Nebraska,Landing Roll,Small,Unknown bird - small,Day,0,0,0,110.0,41.3015,-95.8945,118
1528,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,FOKKER F100,None,9/25/1992,AMERICAN AIRLINES,Kentucky,Approach,Small,Unknown bird - small,Dusk,0,0,0,135.0,39.0508,-84.6673,263
1529,DALLAS/FORT WORTH INTL ARPT,B-747-300,None,9/26/1992,UNITED AIRLINES,Texas,Descent,Medium,Unknown bird - medium,Night,0,0,0,,32.8998,-97.0403,908
1530,SALT LAKE CITY INTL,MD-80,None,9/26/1992,AMERICAN AIRLINES,Utah,Take-off run,Small,Unknown bird - small,Day,0,0,0,135.0,40.7899,-111.9791,236
1531,INDIANAPOLIS INTL,B-737-300,None,9/27/1992,US AIRWAYS*,Indiana,Climb,Large,Unknown bird - large,Night,0,0,0,170.0,39.7169,-86.2956,144
1532,CHICAGO O'HARE INTL ARPT,A-310,None,9/27/1992,NORTHWEST AIRLINES,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,,41.9803,-87.909,430
1533,NASHVILLE INTL,MD-80,None,9/27/1992,AMERICAN AIRLINES,Tennessee,Climb,Medium,Unknown bird - medium,Dusk,0,0,0,140.0,36.1263,-86.6774,297
1534,AUSTIN-BERGSTROM INTL,MD-80,None,9/27/1992,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,150.0,30.1975,-97.6664,144
1535,CHICAGO O'HARE INTL ARPT,MD-82,None,9/28/1992,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,125.0,41.9803,-87.909,430
1536,LAMBERT-ST LOUIS INTL,B-727,None,9/28/1992,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,135.0,38.7499,-90.3748,189
1537,NASHVILLE INTL,SAAB-340,None,9/28/1992,AMERICAN EAGLE AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,120.0,36.1263,-86.6774,297
1538,NEWARK LIBERTY INTL ARPT,MD-82,None,9/28/1992,AMERICAN AIRLINES,New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,250.0,40.6895,-74.1745,206
1539,CHICAGO O'HARE INTL ARPT,FOKKER F100,None,9/28/1992,AMERICAN AIRLINES,Illinois,Climb,Small,Unknown bird - small,Night,0,0,0,200.0,41.9803,-87.909,430
1540,ATLANTA INTL,B-727,None,9/29/1992,TRANS WORLD AIRLINES,Georgia,Climb,Large,Unknown bird - large,Night,0,0,0,200.0,33.6407,-84.4277,211
1541,DALLAS/FORT WORTH INTL ARPT,B-727-100,None,9/29/1992,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,200.0,32.8998,-97.0403,908
1542,DALLAS/FORT WORTH INTL ARPT,B-727-100,None,9/29/1992,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250.0,32.8998,-97.0403,908
1543,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,9/30/1992,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dawn,0,0,0,100.0,32.5019,-93.6571,435
1544,MINNEAPOLIS-ST PAUL INTL,DC-9,None,10/1/1992,NORTHWEST AIRLINES,Minnesota,Approach,Medium,Unknown bird - medium,Day,0,0,0,130.0,44.8848,-93.2223,103
1545,ORLANDO INTL,B-737-400,None,10/1/1992,US AIRWAYS*,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,143.0,28.4179,-81.3041,153
1546,RONALD REAGAN WASHINGTON NATL,MD-82,None,10/2/1992,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,130.0,38.8512,-77.0402,219
1547,DALLAS/FORT WORTH INTL ARPT,B-727-100,None,10/2/1992,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,175.0,32.8998,-97.0403,908
