,Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Aircraft Airline Operator,Origin State,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots,latitude,longitude,Count
55,DALLAS/FORT WORTH INTL ARPT,B-727-200,None,5/13/1990,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,160.0,32.8998,-97.0403,908
56,NASHVILLE INTL,MD-80,None,5/13/1990,AMERICAN AIRLINES,Tennessee,Climb,Small,European starling,Day,0,0,0,160.0,36.1263,-86.6774,297
57,MINNEAPOLIS-ST PAUL INTL,DC-9,None,5/13/1990,AMERICAN AIRLINES,Minnesota,Landing Roll,Small,American robin,Day,0,0,0,100.0,44.8848,-93.2223,103
58,PORTLAND INTL (OR),MD-80,None,5/14/1990,AMERICAN AIRLINES,Oregon,Descent,Medium,Unknown bird - medium,Night,0,0,0,200.0,45.5898,-122.5951,245
59,LAMBERT-ST LOUIS INTL,MD-80,None,5/14/1990,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140.0,38.7499,-90.3748,189
60,CHICAGO O'HARE INTL ARPT,KC-135E,None,5/15/1990,MILITARY,Illinois,Take-off run,Large,Coyote,Day,0,0,0,150.0,41.9803,-87.909,430
61,CHICAGO O'HARE INTL ARPT,C-130,None,5/15/1990,MILITARY,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,120.0,41.9803,-87.909,430
62,DALLAS/FORT WORTH INTL ARPT,B-727-200,None,5/15/1990,AMERICAN AIRLINES,Texas,Landing Roll,Medium,American crow,Day,0,0,0,135.0,32.8998,-97.0403,908
63,SALT LAKE CITY INTL,KC-135E,None,5/15/1990,MILITARY,Utah,Landing Roll,Small,Common nighthawk,Day,0,0,0,150.0,40.7899,-111.9791,236
64,HONOLULU INTL ARPT,B-737,None,5/16/1990,ALOHA AIRLINES,Hawaii,Landing Roll,Large,Unknown bird - large,Day,0,0,0,70.0,21.3186,-157.9253,135
65,AUSTIN-BERGSTROM INTL,B-737-200,None,5/16/1990,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0,30.1975,-97.6664,144
66,DALLAS/FORT WORTH INTL ARPT,B-727,None,5/18/1990,AMERICAN AIRLINES,Texas,Approach,Small,American robin,Night,0,0,0,122.0,32.8998,-97.0403,908
67,LAMBERT-ST LOUIS INTL,MD-80,None,5/19/1990,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140.0,38.7499,-90.3748,189
68,RONALD REAGAN WASHINGTON NATL,B-757-200,None,5/20/1990,AMERICAN AIRLINES,DC,Approach,Small,Unknown bird - small,Night,0,0,0,120.0,38.8512,-77.0402,219
69,SACRAMENTO INTL,B-737-300,None,5/22/1990,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,140.0,38.575764,-121.478851,352
70,CHICAGO O'HARE INTL ARPT,B-727-200,None,5/22/1990,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,140.0,41.9803,-87.909,430
71,SAN FRANCISCO INTL ARPT,B-767,None,5/23/1990,DELTA AIR LINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,150.0,37.6213,-122.379,146
72,CHARLESTON AFB/INTL ARPT,C-141B,None,5/24/1990,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,250.0,32.894268,-80.038159,242
73,HOUSTON-HOBBY,B-737-300,None,5/24/1990,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250.0,29.6459,-95.2769,151
74,LAMBERT-ST LOUIS INTL,L-1011,None,5/26/1990,TRANS WORLD AIRLINES,Missouri,Descent,Medium,Unknown bird - medium,Day,0,0,0,160.0,38.7499,-90.3748,189
75,HOUSTON-HOBBY,B-737,None,5/26/1990,SOUTHWEST AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,,29.6459,-95.2769,151
76,CLEVELAND-HOPKINS INTL ARPT,EMB-120,None,5/26/1990,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Climb,Medium,Unknown bird - medium,Night,0,0,0,180.0,41.4058,-81.8539,98
77,NASHVILLE INTL,B-727-200,None,5/26/1990,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,170.0,36.1263,-86.6774,297
78,SACRAMENTO INTL,B-737-300,None,5/27/1990,UNITED AIRLINES,California,Approach,Medium,Mallard,Day,0,0,0,140.0,38.575764,-121.478851,352
79,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,None,5/27/1990,US AIRWAYS*,Kentucky,Climb,Medium,Unknown bird - medium,Night,0,0,0,180.0,39.0508,-84.6673,263
80,DALLAS/FORT WORTH INTL ARPT,MD-80,None,5/27/1990,AMERICAN AIRLINES,Texas,Approach,Small,American robin,Day,0,0,0,170.0,32.8998,-97.0403,908
81,LOUISVILLE INTL ARPT,DC-9-10,None,5/29/1990,TRANS WORLD AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,130.0,38.186,-85.7412,272
82,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,5/29/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,130.0,32.5019,-93.6571,435
83,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,5/29/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,135.0,32.5019,-93.6571,435
84,CHICAGO O'HARE INTL ARPT,B-727-200,None,5/29/1990,AMERICAN AIRLINES,Illinois,Climb,Small,European starling,Day,0,0,0,160.0,41.9803,-87.909,430
85,NEW ORLEANS INTL,B-737-200,None,5/30/1990,SOUTHWEST AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,130.0,29.9911,-90.2592,183
