Origin State,Aircraft Airline Operator,Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots,latitude,longitude
South Carolina,GREAT LAKES AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Carolina,HORIZON AIR,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Carolina,MILITARY,204,204,204,204,204,204,204,204,204,204,204,171,204,204
South Carolina,PINNACLE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Carolina,PRIVATELY OWNED,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Carolina,PSA AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Carolina,US AIRWAYS*,16,16,16,16,16,16,16,16,16,16,16,13,16,16
Tennessee,ABX AIR,5,5,5,5,5,5,5,5,5,5,5,1,5,5
Tennessee,AIR CANADA,3,3,3,3,3,3,3,3,3,3,3,2,3,3
Tennessee,AIRTRAN AIRWAYS,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tennessee,AMERICAN AIRLINES,156,156,156,156,156,156,156,156,156,156,156,148,156,156
Tennessee,AMERICAN EAGLE AIRLINES,21,21,21,21,21,21,21,21,21,21,21,18,21,21
Tennessee,ATLANTIC SOUTHEAST,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tennessee,BUSINESS,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Tennessee,COMAIR AIRLINES,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tennessee,CONTINENTAL AIRLINES,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tennessee,DELTA AIR LINES,35,35,35,35,35,35,35,35,35,35,35,33,35,35
Tennessee,EXECUTIVE JET AVIATION,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Tennessee,EXPRESSJET (CONTINENTAL EXPRS),2,2,2,2,2,2,2,2,2,2,2,1,2,2
Tennessee,FEDEX EXPRESS,155,155,155,155,155,155,155,155,155,155,155,83,155,155
Tennessee,GREAT LAKES AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tennessee,MESABA AIRLINES,6,6,6,6,6,6,6,6,6,6,6,5,6,6
Tennessee,MILITARY,3,3,3,3,3,3,3,3,3,3,3,2,3,3
Tennessee,NORTHWEST AIRLINES,36,36,36,36,36,36,36,36,36,36,36,25,36,36
Tennessee,PINNACLE,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Tennessee,PRIVATELY OWNED,3,3,3,3,3,3,3,3,3,3,3,2,3,3
Tennessee,SOUTHWEST AIRLINES,59,59,59,59,59,59,59,59,59,59,59,57,59,59
Tennessee,TRANS STATES AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tennessee,TRANS WORLD AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tennessee,UNITED AIRLINES,5,5,5,5,5,5,5,5,5,5,5,3,5,5
Tennessee,UNKNOWN,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Tennessee,UPS AIRLINES,5,5,5,5,5,5,5,5,5,5,5,4,5,5
Tennessee,US AIRWAYS*,19,19,19,19,19,19,19,19,19,19,19,18,19,19
Texas,ABX AIR,18,18,18,18,18,18,18,18,18,18,18,2,18,18
Texas,AIR CANADA,4,4,4,4,4,4,4,4,4,4,4,1,4,4
Texas,AIRTRAN AIRWAYS,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Texas,AMERICA WEST AIRLINES,25,25,25,25,25,25,25,25,25,25,25,14,25,25
Texas,AMERICAN AIRLINES,843,843,843,843,843,843,843,843,843,843,843,677,843,843
Texas,AMERICAN EAGLE AIRLINES,105,105,105,105,105,105,105,105,105,105,105,64,105,105
Texas,ASTAR AIR CARGO,2,2,2,2,2,2,2,2,2,2,2,1,2,2
Texas,ATLANTIC COAST AIRLINES,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Texas,ATLANTIC SOUTHEAST,10,10,10,10,10,10,10,10,10,10,10,0,10,10
Texas,BUSINESS,17,17,17,17,17,17,17,17,17,17,17,8,17,17
Texas,CONTINENTAL AIRLINES,30,30,30,30,30,30,30,30,30,30,30,8,30,30
Texas,DELTA AIR LINES,92,92,92,92,92,92,92,92,92,92,92,55,92,92
Texas,EXECUTIVE JET AVIATION,3,3,3,3,3,3,3,3,3,3,3,2,3,3
Texas,EXPRESSJET (CONTINENTAL EXPRS),30,30,30,30,30,30,30,30,30,30,30,21,30,30
Texas,FEDEX EXPRESS,23,23,23,23,23,23,23,23,23,23,23,16,23,23
Texas,FRONTIER AIRLINES,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Texas,GOVERNMENT,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Texas,MILITARY,3,3,3,3,3,3,3,3,3,3,3,2,3,3
Texas,NORTHWEST AIRLINES,8,8,8,8,8,8,8,8,8,8,8,3,8,8
Texas,PIEDMONT AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Texas,PRIVATELY OWNED,3,3,3,3,3,3,3,3,3,3,3,2,3,3
Texas,SKYWEST AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Texas,SOUTHWEST AIRLINES,200,200,200,200,200,200,200,200,200,200,200,183,200,200
Texas,TRANS WORLD AIRLINES,7,7,7,7,7,7,7,7,7,7,7,4,7,7
Texas,UNITED AIRLINES,13,13,13,13,13,13,13,13,13,13,13,2,13,13
Texas,UNKNOWN,10,10,10,10,10,10,10,10,10,10,10,6,10,10
Texas,UPS AIRLINES,18,18,18,18,18,18,18,18,18,18,18,12,18,18
Texas,US AIRWAYS*,23,23,23,23,23,23,23,23,23,23,23,13,23,23
Utah,ABX AIR,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Utah,AMERICA WEST AIRLINES,4,4,4,4,4,4,4,4,4,4,4,0,4,4
Utah,AMERICAN AIRLINES,14,14,14,14,14,14,14,14,14,14,14,13,14,14
Utah,ASTAR AIR CARGO,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Utah,BUSINESS,7,7,7,7,7,7,7,7,7,7,7,5,7,7
Utah,CONTINENTAL AIRLINES,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Utah,DELTA AIR LINES,122,122,122,122,122,122,122,122,122,122,122,45,122,122
Utah,FEDEX EXPRESS,5,5,5,5,5,5,5,5,5,5,5,2,5,5
Utah,JETBLUE AIRWAYS,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Utah,MILITARY,7,7,7,7,7,7,7,7,7,7,7,6,7,7
Utah,NORTHWEST AIRLINES,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Utah,PRIVATELY OWNED,3,3,3,3,3,3,3,3,3,3,3,0,3,3
Utah,SKYWEST AIRLINES,31,31,31,31,31,31,31,31,31,31,31,8,31,31
Utah,SOUTHWEST AIRLINES,13,13,13,13,13,13,13,13,13,13,13,7,13,13
Utah,TRANS WORLD AIRLINES,2,2,2,2,2,2,2,2,2,2,2,1,2,2
Utah,UNITED AIRLINES,12,12,12,12,12,12,12,12,12,12,12,1,12,12
Utah,UNKNOWN,2,2,2,2,2,2,2,2,2,2,2,1,2,2
Utah,UPS AIRLINES,5,5,5,5,5,5,5,5,5,5,5,2,5,5
Washington,ALASKA AIRLINES,30,30,30,30,30,30,30,30,30,30,30,6,30,30
Washington,AMERICA WEST AIRLINES,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Washington,AMERICAN AIRLINES,7,7,7,7,7,7,7,7,7,7,7,4,7,7
Washington,BUSINESS,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Washington,CONTINENTAL AIRLINES,4,4,4,4,4,4,4,4,4,4,4,2,4,4
Washington,DELTA AIR LINES,4,4,4,4,4,4,4,4,4,4,4,1,4,4
Washington,FEDEX EXPRESS,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washington,GOVERNMENT,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washington,HAWAIIAN AIR,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washington,HORIZON AIR,23,23,23,23,23,23,23,23,23,23,23,11,23,23
Washington,MESA AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washington,NORTHWEST AIRLINES,8,8,8,8,8,8,8,8,8,8,8,4,8,8
Washington,SKYWEST AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washington,SOUTHWEST AIRLINES,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Washington,TRANS WORLD AIRLINES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washington,UNITED AIRLINES,8,8,8,8,8,8,8,8,8,8,8,0,8,8
Washington,UNKNOWN,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Washington,US AIRWAYS*,1,1,1,1,1,1,1,1,1,1,1,1,1,1
